dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
661,43104.3854166667,0,,,,,0.004,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.293,,,,-2.385,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.066,,,,,3.163,,,,,,,,,,123.477,124.059
661,43104.3958333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.04,,,,-2.896,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.357,,,,,,,,,,123.709,124.277
661,43104.40625,0,,,,,0.004,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.407,,,,-2.599,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,3.438,,,,,,,,,,123.734,124.456
661,43104.4166666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.017,,,,-3.329,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.773,,,,,,,,,,124.125,124.687
661,43104.4270833333,0,,,,,0.004,,,,,,,,0.002,,,-0.001,,,,0,0,0,,,0.29,,,,-3.212,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,3.935,,,,,,,,,,124.084,124.955
661,43104.4375,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.069,,,,-3.477,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.976,,,,,,,,,,123.691,124.382
661,43104.4479166667,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.302,,,,-3.49,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.068,,,,,4.299,,,,,,,,,,123.267,124.141
661,43104.4583333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.017,,,,-3.944,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.138,,,,,4.534,,,,,,,,,,123.423,124.134
661,43104.46875,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-4.172,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.127,,,,,4.748,,,,,,,,,,123.489,124.18
661,43104.4791666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-4.009,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.055,,,,,4.509,,,,,,,,,,123.574,124.195
661,43104.4895833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.14,,,,-4.391,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,4.977,,,,,,,,,,123.683,124.377
661,43104.5,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.016,,,,-3.468,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,3.915,,,,,,,,,,123.689,124.258
661,43104.5104166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-3.883,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,4.329,,,,,,,,,,123.882,124.367
661,43104.5208333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-2.929,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.364,,,,,,,,,,123.481,123.989
661,43104.53125,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.14,,,,-2.158,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,2.719,,,,,,,,,,123.259,123.843
661,43104.5416666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.016,,,,-2.894,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.131,,,,,3.466,,,,,,,,,,123.361,123.779
661,43104.5520833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-3.203,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.132,,,,,3.773,,,,,,,,,,123.511,123.883
661,43104.5625,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-3.924,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.124,,,,,4.492,,,,,,,,,,123.766,124.244
